id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
5,5,1,1,3,5,3,2,0,0,3,6,69,30,5,12,1
19,19,1,0,5,5,0,0,0,0,6,4,38,61,9,7,2
23,23,0,0,5,4,1,4,0,0,5,7,51,48,11,8,3
34,34,1,0,5,5,3,3,0,0,3,5,45,54,11,10,4
48,48,1,0,5,5,3,5,0,0,7,3,43,56,26,14,5
59,59,1,0,5,5,6,4,1,0,6,7,57,42,10,2,6
68,68,2,0,5,5,0,1,0,0,7,2,47,52,21,16,7
78,78,2,1,5,3,2,1,0,0,4,5,73,26,16,11,8
89,89,1,2,5,5,4,4,0,0,7,2,49,50,9,8,9
90,90,0,1,5,5,4,3,0,1,10,5,61,38,12,12,10
101,101,1,2,5,4,3,1,0,0,3,2,40,59,10,10,11
114,114,2,1,4,5,0,3,0,0,3,4,52,47,9,13,12
128,128,1,1,5,4,1,1,0,0,8,3,45,54,11,6,13
131,131,1,0,5,5,1,2,0,0,7,6,39,60,12,15,14
149,149,2,0,5,5,0,5,0,1,4,4,70,29,11,12,15
152,152,0,1,5,4,3,4,0,0,12,3,40,59,19,9,16
168,168,1,1,4,5,1,3,0,0,4,6,64,35,7,13,17
170,170,1,0,5,3,1,3,0,0,5,2,50,49,19,5,18
188,188,1,2,4,5,5,2,1,0,5,10,44,55,12,15,19
199,199,3,0,5,5,4,3,0,0,4,6,55,44,8,17,20
204,204,0,2,5,4,4,1,1,0,12,0,43,56,16,10,21
219,219,1,2,5,5,3,3,0,0,1,6,53,46,7,13,22
225,225,1,1,5,5,4,3,1,1,2,9,22,77,3,16,23
239,239,2,0,5,4,2,0,0,0,5,0,72,27,8,7,24
242,242,5,0,5,5,2,2,0,0,3,5,35,64,13,11,25
259,259,1,1,5,5,2,1,0,0,6,7,72,27,9,6,26
263,263,3,3,4,5,4,1,0,0,4,4,26,73,16,14,27
278,278,0,2,5,5,3,3,0,0,10,3,71,28,14,7,28
288,288,0,1,5,5,2,2,0,0,11,3,65,34,21,3,29
292,292,1,0,4,5,5,1,0,1,6,1,69,30,14,8,30
309,309,0,2,4,4,3,3,1,0,6,2,62,37,5,10,31
316,316,4,1,5,5,1,0,0,0,8,4,31,68,21,9,32
328,328,0,2,5,5,1,3,0,0,4,2,60,39,10,6,33
