id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
7,7,1,1,5,5,2,5,0,0,4,1,47,52,15,6,1
17,17,1,1,5,5,2,1,0,0,9,7,52,47,11,17,2
23,23,0,0,5,4,1,4,0,0,5,7,51,48,11,8,3
39,39,5,3,5,5,1,5,0,0,2,5,61,38,15,8,4
44,44,2,1,5,4,3,2,0,0,4,3,51,48,17,15,5
58,58,4,3,5,5,4,1,0,0,2,1,61,38,10,10,6
67,67,0,1,4,5,4,7,1,0,0,2,37,63,9,2,7
70,70,3,0,5,5,2,2,0,0,5,7,51,48,8,18,8
80,80,2,1,4,5,2,4,0,0,1,4,37,62,14,13,9
96,96,1,0,5,5,3,3,0,0,2,5,56,43,14,18,10
105,105,2,2,5,4,3,2,0,0,4,5,55,44,16,15,11
115,115,0,1,3,4,3,3,0,0,8,3,51,49,13,12,12
121,121,1,3,4,5,3,2,0,0,5,5,46,53,7,18,13
133,133,2,1,5,5,2,1,0,2,4,4,48,51,11,8,14
141,141,1,1,5,4,3,3,0,0,1,8,28,71,9,17,15
159,159,0,3,4,4,2,1,0,0,5,3,51,48,20,16,16
165,165,0,0,5,3,3,4,0,0,2,7,57,42,12,12,17
172,172,0,0,5,5,3,1,0,0,7,5,40,59,10,8,18
186,186,1,1,5,5,5,4,1,0,6,4,53,46,16,7,19
190,190,2,1,5,5,1,4,0,0,5,5,49,50,10,9,20
206,206,0,1,5,5,1,2,0,0,6,3,48,51,6,6,21
216,216,0,0,5,3,2,4,0,0,2,2,51,48,6,5,22
224,224,0,0,4,5,2,3,0,0,3,4,48,51,11,11,23
236,236,0,1,5,5,0,0,0,0,7,4,68,31,21,9,24
247,247,1,2,4,4,9,5,2,0,3,9,31,68,4,19,25
257,257,1,3,5,5,3,4,0,0,13,2,70,30,21,6,26
